DPM,,HGCROC,Channel,CMB,Quadbar,Bar,Plane,AllBar,Elink,End
1,333,2,14,4,3,2,17,10,4,1
1,334,2,15,4,3,3,17,11,4,1
1,335,2,16,4,3,4,17,12,4,1
1,336,2,18,5,1,1,18,1,4,0
1,337,2,19,5,1,2,18,2,4,0
1,338,2,20,5,1,3,18,3,4,0
1,339,2,21,5,1,4,18,4,4,0
1,340,2,22,6,1,1,18,1,4,1
1,341,2,23,6,1,2,18,2,4,1
1,342,2,24,6,1,3,18,3,4,1
1,343,2,25,6,1,4,18,4,4,1
1,344,2,27,7,2,1,18,5,4,0
1,345,2,28,7,2,2,18,6,4,0
1,346,2,29,7,2,3,18,7,4,0
1,347,2,30,7,2,4,18,8,4,0
1,348,2,31,8,2,1,18,5,4,1
1,349,2,32,8,2,2,18,6,4,1
1,350,2,33,8,2,3,18,7,4,1
1,351,2,34,8,2,4,18,8,4,1
1,352,2,36,9,3,1,18,9,5,0
1,353,2,37,9,3,2,18,10,5,0
1,354,2,38,9,3,3,18,11,5,0
1,355,2,39,9,3,4,18,12,5,0
1,356,2,40,10,3,1,18,9,5,1
1,357,2,41,10,3,2,18,10,5,1
1,358,2,42,10,3,3,18,11,5,1
1,359,2,43,10,3,4,18,12,5,1
1,360,2,45,11,1,1,19,1,5,0
1,361,2,46,11,1,2,19,2,5,0
1,362,2,47,11,1,3,19,3,5,0
1,363,2,48,11,1,4,19,4,5,0
1,364,2,49,12,1,1,19,1,5,1
1,365,2,50,12,1,2,19,2,5,1
1,366,2,51,12,1,3,19,3,5,1
1,367,2,52,12,1,4,19,4,5,1
1,368,2,54,13,2,1,19,5,5,0
1,369,2,55,13,2,2,19,6,5,0
1,370,2,56,13,2,3,19,7,5,0
1,371,2,57,13,2,4,19,8,5,0
1,372,2,58,14,2,1,19,5,5,1
1,373,2,59,14,2,2,19,6,5,1
1,374,2,60,14,2,3,19,7,5,1
1,375,2,61,14,2,4,19,8,5,1
1,376,2,63,15,3,1,19,9,5,0
1,377,2,64,15,3,2,19,10,5,0
1,378,2,65,15,3,3,19,11,5,0
1,379,2,66,15,3,4,19,12,5,0
1,380,2,67,16,3,1,19,9,5,1
1,381,2,68,16,3,2,19,10,5,1
1,382,2,69,16,3,3,19,11,5,1
1,383,2,70,16,3,4,19,12,5,1
